InvoiceID,Date,CustomerID,CustomerName,Product,Quantity,UnitPrice,TotalAmount,PaymentStatus
INV-1001,2025-01-03,CUST-A-101,TechCorp Industries,Widget A,500,45.00,22500.00,Paid
INV-1002,2025-01-05,CUST-B-202,GlobalTrade LLC,Widget B,300,67.50,20250.00,Paid
INV-1003,2025-01-07,CUST-C-303,MegaRetail Co,Widget A,750,45.00,33750.00,Pending
INV-1004,2025-01-10,CUST-D-404,SmartSolutions Inc,Widget C,200,89.99,17998.00,Paid
INV-1005,2025-01-12,CUST-A-101,TechCorp Industries,Widget B,400,67.50,27000.00,Paid
INV-1006,2025-01-15,CUST-E-505,InnovatePro Ltd,Widget A,600,45.00,27000.00,Paid
INV-1007,2025-01-17,CUST-F-606,Precision Manufacturing,Widget C,150,89.99,13498.50,Paid
INV-1008,2025-01-20,CUST-B-202,GlobalTrade LLC,Widget A,800,45.00,36000.00,Pending
INV-1009,2025-01-22,CUST-G-707,BuildRight Construction,Widget B,250,67.50,16875.00,Paid
INV-1010,2025-01-25,CUST-C-303,MegaRetail Co,Widget C,350,89.99,31496.50,Paid
INV-1047,2025-01-28,CUST-H-808,QuickBuy Distributors,Widget A,1000,45.00,45000.00,Paid
INV-1048,2025-01-30,CUST-D-404,SmartSolutions Inc,Widget B,450,67.50,30375.00,Pending
